APT_GROUP,APT_ICAO,DATE,PHASE,N_VALID,(-1e+09.-60],(-60.-55],(-55.-50],(-50.-45],(-45.-40],(-40.-35],(-35.-30],(-30.-25],(-25.-20],(-20.-15],(-15.-10],(-10.-5],(-5.0],(0.5],(5.10],(10.15],(15.20],(20.25],(25.30],(30.35],(35.40],(40.45],(45.50],(50.55],(55.60],(60.1e+09],EARLY_M15M05,EARLY_M05M00,LATE_P00P05,LATE_P05P15,WITHIN_M05P05,WITHIN_M15P15
CINDACTA IV,SBBE,2022-01,ARR,1310,1,0,0,0,0,0,4,7,29,85,157,214,189,193,89,74,62,43,30,32,13,17,14,9,6,42,0.283206107,0.144274809,0.147328244,0.124427481,0.291603053,0.699236641
CINDACTA IV,SBBE,2022-02,ARR,1105,0,0,0,0,0,3,0,4,37,120,219,239,161,131,68,31,23,15,9,4,12,3,3,2,2,19,0.414479638,0.145701357,0.118552036,0.08959276,0.264253394,0.768325792
CINDACTA IV,SBBE,2022-03,ARR,1131,0,0,0,1,0,0,5,10,48,133,213,229,165,118,50,33,37,25,15,7,7,4,1,5,5,20,0.390804598,0.145888594,0.104332449,0.073386384,0.250221043,0.714412025
CINDACTA IV,SBBE,2022-04,ARR,948,0,1,0,1,0,0,2,8,26,92,184,196,108,124,55,44,23,13,18,7,9,7,4,3,1,22,0.400843882,0.113924051,0.130801688,0.10443038,0.244725738,0.75
CINDACTA IV,SBBE,2022-05,ARR,1155,0,0,0,0,0,0,5,17,49,111,175,200,160,153,73,60,39,21,16,14,14,7,7,1,4,29,0.324675325,0.138528139,0.132467532,0.115151515,0.270995671,0.710822511
CINDACTA IV,SBBE,2022-06,ARR,1149,0,0,0,0,1,0,4,15,56,105,199,202,166,126,88,63,27,19,10,15,9,7,4,1,2,30,0.34899913,0.144473455,0.109660574,0.131418625,0.25413403,0.734551784
CINDACTA IV,SBBE,2022-07,ARR,1397,2,0,0,0,0,2,2,19,43,119,209,250,233,194,87,64,47,22,26,10,7,8,4,3,7,39,0.328561203,0.16678597,0.138869005,0.108088762,0.305654975,0.742304939
CINDACTA IV,SBBE,2022-08,ARR,1261,1,0,1,0,0,2,6,23,46,118,192,209,173,153,84,65,45,33,29,21,12,11,3,2,3,29,0.318001586,0.137192704,0.121332276,0.11816019,0.25852498,0.694686757
CINDACTA IV,SBBE,2022-09,ARR,1133,0,0,0,0,1,0,4,14,29,96,181,195,176,147,86,50,45,35,17,18,5,3,5,1,2,23,0.331862312,0.155339806,0.129744042,0.120035305,0.285083848,0.736981465
CINDACTA IV,SBBE,2022-10,ARR,1181,0,0,1,0,1,0,3,13,44,125,222,230,172,129,61,42,39,22,11,14,7,5,4,3,3,30,0.382726503,0.145639289,0.109229467,0.087214225,0.254868755,0.724809483
CINDACTA IV,SBBE,2022-11,ARR,1041,0,0,0,0,0,1,1,6,33,92,158,172,141,129,81,54,37,24,19,15,17,4,6,9,5,37,0.317002882,0.135446686,0.123919308,0.129682997,0.259365994,0.706051873
CINDACTA IV,SBBE,2022-12,ARR,1143,0,0,0,0,0,1,4,8,42,100,164,171,157,137,78,49,40,43,29,22,22,7,15,8,5,41,0.293088364,0.13735783,0.119860017,0.111111111,0.257217848,0.661417323
CINDACTA I,SBBR,2022-01,ARR,4567,1,0,0,3,9,15,33,101,301,639,818,759,532,460,226,167,124,86,59,46,25,23,17,11,17,95,0.345303263,0.116487848,0.100722575,0.086052113,0.217210423,0.648565798
CINDACTA I,SBBR,2022-02,ARR,3508,0,0,0,2,7,13,35,130,326,533,711,642,423,280,124,87,59,33,26,8,18,10,5,3,3,30,0.385689852,0.120581528,0.07981756,0.060148233,0.200399088,0.646237172
CINDACTA I,SBBR,2022-03,ARR,3868,0,0,2,0,4,9,30,126,357,662,813,685,438,295,146,78,53,39,30,10,14,12,10,6,4,45,0.387280248,0.113236815,0.076266805,0.057911065,0.189503619,0.634694933
CINDACTA I,SBBR,2022-04,ARR,3537,0,0,0,0,1,2,24,105,256,505,695,653,445,323,162,93,59,56,28,35,13,17,11,3,4,47,0.381113938,0.125812836,0.091320328,0.072094996,0.217133164,0.670342098
CINDACTA I,SBBR,2022-05,ARR,3919,1,0,0,4,2,10,22,93,220,472,674,698,601,463,192,141,80,61,41,27,17,13,17,12,7,51,0.350089308,0.153355448,0.118142383,0.084970656,0.271497831,0.706557795
CINDACTA I,SBBR,2022-06,ARR,3737,3,0,0,0,0,7,12,90,252,506,692,745,510,378,187,91,59,67,30,23,17,16,9,7,5,31,0.384533048,0.136473107,0.101150656,0.074391223,0.237623762,0.696548033
CINDACTA I,SBBR,2022-07,ARR,4603,0,0,0,0,3,3,13,68,198,485,889,881,730,523,241,154,109,72,48,40,23,21,18,9,10,65,0.384531827,0.158592222,0.113621551,0.0858136,0.272213774,0.742559201
CINDACTA I,SBBR,2022-08,ARR,4451,0,0,0,1,3,8,6,51,187,446,698,871,641,562,269,212,128,96,64,49,39,28,13,9,10,60,0.352505055,0.144012581,0.126263761,0.108065603,0.270276342,0.730847001
CINDACTA I,SBBR,2022-09,ARR,4319,0,0,0,0,1,1,12,67,204,497,732,752,648,495,244,175,126,95,46,52,39,15,19,15,17,67,0.343598055,0.15003473,0.114609863,0.097013197,0.264644594,0.705255846
CINDACTA I,SBBR,2022-10,ARR,4479,0,0,0,0,1,0,21,61,202,501,742,832,652,488,265,170,123,83,57,55,41,25,32,14,14,100,0.351417727,0.145568207,0.108952891,0.097119893,0.254521098,0.703058718
CINDACTA I,SBBR,2022-11,ARR,4479,0,0,0,0,1,2,23,53,199,369,531,657,641,586,336,250,152,137,89,75,70,51,39,44,27,147,0.265237776,0.143112302,0.130832775,0.130832775,0.273945077,0.670015628
CINDACTA I,SBBR,2022-12,ARR,4749,1,0,0,0,1,3,15,51,215,451,652,726,605,540,337,231,189,143,121,84,62,51,36,33,25,177,0.290166351,0.127395241,0.113708149,0.119604127,0.24110339,0.650873868
CINDACTA I,SBCF,2022-01,ARR,3426,1,0,0,2,1,4,8,24,78,265,500,572,536,457,242,179,130,99,56,57,39,35,21,16,16,88,0.312901343,0.156450671,0.13339171,0.12288383,0.289842382,0.725627554
CINDACTA I,SBCF,2022-02,ARR,2769,0,0,0,0,0,1,8,34,157,440,609,527,407,234,113,61,45,37,23,12,12,8,6,5,3,27,0.41025641,0.146984471,0.084507042,0.06283857,0.231491513,0.704586493
CINDACTA I,SBCF,2022-03,ARR,3241,1,1,0,1,0,4,7,55,196,525,696,659,435,266,127,70,52,33,21,15,11,13,5,6,5,37,0.418080839,0.134217834,0.082073434,0.060783709,0.216291268,0.695155816
CINDACTA I,SBCF,2022-04,ARR,3380,2,0,0,0,2,2,15,44,200,492,690,700,475,310,112,101,58,35,32,15,17,7,14,5,5,47,0.411242604,0.140532544,0.091715976,0.063017751,0.232248521,0.706508876
CINDACTA I,SBCF,2022-05,ARR,3722,0,0,0,1,1,2,9,61,208,495,731,722,540,389,152,96,69,48,26,29,19,20,14,5,9,76,0.390381515,0.145083289,0.104513702,0.066630844,0.249596991,0.70660935
CINDACTA I,SBCF,2022-06,ARR,3596,1,0,0,1,1,3,8,60,238,513,704,733,496,337,154,90,66,40,29,24,17,11,12,12,2,44,0.399610679,0.137931034,0.093715239,0.06785317,0.231646274,0.699110122
CINDACTA I,SBCF,2022-07,ARR,4102,0,0,0,0,1,6,19,76,207,465,779,845,550,443,212,140,98,60,42,31,22,16,11,13,7,59,0.395904437,0.134080936,0.107996099,0.085811799,0.242077036,0.723793272
CINDACTA I,SBCF,2022-08,ARR,3896,0,0,0,1,0,5,20,51,186,463,744,730,536,389,253,141,94,59,53,37,23,23,18,7,4,59,0.378336756,0.137577002,0.099845996,0.101129363,0.237422998,0.716889117
CINDACTA I,SBCF,2022-09,ARR,3812,0,0,0,0,1,2,11,39,199,497,749,683,526,370,192,147,91,66,37,41,25,14,17,9,13,83,0.375655824,0.13798531,0.09706191,0.088929696,0.235047219,0.699632739
CINDACTA I,SBCF,2022-10,ARR,4010,0,0,0,2,2,2,12,63,183,464,759,760,526,399,236,142,104,74,55,39,25,29,27,9,10,88,0.378802993,0.13117207,0.099501247,0.094264339,0.230673317,0.703740648
CINDACTA I,SBCF,2022-11,ARR,3740,0,0,0,1,2,6,12,36,125,342,532,656,555,457,247,155,125,90,65,61,46,41,30,22,19,115,0.317647059,0.148395722,0.122192513,0.107486631,0.270588235,0.695721925
CINDACTA I,SBCF,2022-12,ARR,3997,0,0,0,0,0,1,8,30,113,325,568,656,589,463,287,205,144,106,84,72,58,47,31,25,24,161,0.306229672,0.14736052,0.115836878,0.123092319,0.263197398,0.69251939
CINDACTA II,SBCG,2022-01,ARR,492,0,0,0,0,0,0,1,3,7,25,57,71,78,76,39,28,25,14,7,10,12,6,8,2,4,19,0.260162602,0.158536585,0.154471545,0.136178862,0.31300813,0.709349593
CINDACTA II,SBCG,2022-02,ARR,331,0,0,0,0,0,0,0,3,16,30,66,70,40,34,24,18,6,0,6,5,4,0,2,1,4,2,0.410876133,0.120845921,0.102719033,0.126888218,0.223564955,0.761329305
CINDACTA II,SBCG,2022-03,ARR,418,0,0,0,0,0,1,0,2,23,45,85,69,58,44,25,21,11,8,3,6,3,0,4,1,2,7,0.368421053,0.138755981,0.105263158,0.110047847,0.244019139,0.722488038
CINDACTA II,SBCG,2022-04,ARR,417,0,0,0,0,0,0,1,2,8,33,68,61,66,69,35,23,13,8,10,2,3,2,1,3,1,8,0.309352518,0.158273381,0.165467626,0.139088729,0.323741007,0.772182254
CINDACTA II,SBCG,2022-05,ARR,450,0,0,0,0,0,0,0,1,2,20,44,82,74,71,47,30,25,9,10,11,6,5,2,4,4,3,0.28,0.164444444,0.157777778,0.171111111,0.322222222,0.773333333
CINDACTA II,SBCG,2022-06,ARR,431,0,0,0,0,0,0,0,2,3,16,35,72,80,70,47,40,23,16,6,5,6,2,2,2,0,4,0.248259861,0.185614849,0.162412993,0.201856148,0.348027842,0.798143852
CINDACTA II,SBCG,2022-07,ARR,521,0,0,0,0,0,0,0,1,6,29,67,96,92,84,36,28,23,15,8,8,7,5,6,2,1,7,0.312859885,0.176583493,0.161228407,0.122840691,0.3378119,0.773512476
CINDACTA II,SBCG,2022-08,ARR,496,0,0,0,0,0,0,0,0,3,14,42,73,82,92,48,31,26,26,17,7,6,8,6,3,1,11,0.231854839,0.165322581,0.185483871,0.159274194,0.350806452,0.741935484
CINDACTA II,SBCG,2022-09,ARR,470,0,0,0,0,0,0,1,0,3,15,27,65,80,91,49,36,30,17,14,5,15,9,1,3,0,9,0.195744681,0.170212766,0.193617021,0.180851064,0.363829787,0.740425532
CINDACTA II,SBCG,2022-10,ARR,484,0,0,0,0,0,0,0,0,7,14,40,72,90,76,43,26,28,19,14,6,9,3,8,5,3,21,0.231404959,0.185950413,0.157024793,0.142561983,0.342975207,0.716942149
CINDACTA II,SBCG,2022-11,ARR,504,0,0,0,0,0,0,0,0,5,13,46,66,89,75,47,27,26,26,15,15,5,6,8,11,4,20,0.222222222,0.176587302,0.148809524,0.146825397,0.325396825,0.694444444
CINDACTA II,SBCG,2022-12,ARR,567,0,0,0,0,0,0,0,2,3,28,51,78,110,68,60,37,20,26,7,14,16,10,10,5,3,19,0.227513228,0.194003527,0.119929453,0.171075838,0.313932981,0.712522046
CINDACTA II,SBCT,2022-01,ARR,1571,1,0,0,0,2,7,8,20,58,156,269,267,206,169,93,77,53,44,19,26,20,8,11,14,2,41,0.341183959,0.131126671,0.107574793,0.10821133,0.238701464,0.688096754
CINDACTA II,SBCT,2022-02,ARR,1347,0,0,1,1,0,0,0,7,60,177,280,272,200,136,64,53,26,18,11,5,7,1,3,5,1,19,0.409799555,0.148478099,0.100965108,0.086859688,0.249443207,0.74610245
CINDACTA II,SBCT,2022-03,ARR,1755,1,0,0,0,1,0,0,22,59,221,353,380,254,173,81,62,34,25,16,10,7,6,3,2,7,38,0.417663818,0.144729345,0.098575499,0.081481481,0.243304843,0.742450142
CINDACTA II,SBCT,2022-04,ARR,1896,0,0,0,0,0,0,0,13,81,188,332,360,314,226,98,60,43,39,22,22,14,11,11,4,7,51,0.364978903,0.165611814,0.119198312,0.083333333,0.284810127,0.733122363
CINDACTA II,SBCT,2022-05,ARR,2184,2,0,0,0,1,2,4,10,53,213,335,416,378,298,142,93,64,21,19,14,12,6,16,10,9,66,0.343864469,0.173076923,0.136446886,0.107600733,0.30952381,0.760989011
CINDACTA II,SBCT,2022-06,ARR,2039,0,0,0,0,0,4,6,13,57,185,364,441,371,231,115,71,46,32,23,15,7,7,6,3,4,38,0.394801373,0.181951937,0.113290829,0.091221187,0.295242766,0.781265326
CINDACTA II,SBCT,2022-07,ARR,2179,0,0,0,0,1,2,7,17,58,191,301,470,378,295,162,75,68,31,25,21,16,5,7,5,6,38,0.353832033,0.173474071,0.135383203,0.108765489,0.308857274,0.771454796
CINDACTA II,SBCT,2022-08,ARR,2167,1,0,0,1,1,2,5,23,72,192,327,388,373,294,143,91,67,50,35,19,14,12,8,7,4,38,0.329949239,0.172127365,0.135671435,0.107983387,0.3077988,0.745731426
CINDACTA II,SBCT,2022-09,ARR,2086,1,0,0,0,1,0,4,21,62,151,273,409,299,260,159,117,83,55,43,26,24,16,7,5,14,56,0.326941515,0.143336529,0.12464046,0.132310642,0.267976989,0.727229147
CINDACTA II,SBCT,2022-10,ARR,2161,4,0,0,0,1,4,4,21,91,141,337,395,329,298,130,84,77,57,39,29,29,9,15,13,10,44,0.338732068,0.152244331,0.137899121,0.099028228,0.290143452,0.727903748
CINDACTA II,SBCT,2022-11,ARR,2133,1,1,0,0,0,0,1,11,65,155,283,357,296,275,144,114,95,67,53,38,36,23,22,19,14,63,0.300046882,0.138771683,0.128926395,0.120956399,0.267698078,0.68870136
CINDACTA II,SBCT,2022-12,ARR,2110,2,0,0,0,0,3,6,12,45,149,279,343,294,249,186,104,84,68,53,42,30,27,26,13,14,81,0.29478673,0.139336493,0.118009479,0.137440758,0.257345972,0.68957346
CINDACTA IV,SBCY,2022-01,ARR,1041,1,0,0,0,0,1,4,17,40,97,143,169,153,120,74,45,45,22,24,14,8,11,5,6,6,36,0.299711816,0.146974063,0.115273775,0.11431316,0.262247839,0.676272815
CINDACTA IV,SBCY,2022-02,ARR,741,0,0,1,0,0,5,5,18,62,107,150,138,89,69,25,21,10,11,8,2,2,6,1,1,1,9,0.388663968,0.120107962,0.093117409,0.062078273,0.213225371,0.663967611
CINDACTA IV,SBCY,2022-03,ARR,992,0,1,0,0,0,2,2,31,89,177,210,191,111,71,25,21,14,10,6,6,6,3,2,1,3,10,0.404233871,0.111895161,0.071572581,0.046370968,0.183467742,0.634072581
CINDACTA IV,SBCY,2022-04,ARR,998,0,0,0,0,0,1,5,22,72,154,188,149,127,93,51,36,25,17,9,8,6,6,2,5,4,18,0.337675351,0.127254509,0.093186373,0.087174349,0.220440882,0.645290581
CINDACTA IV,SBCY,2022-05,ARR,1010,0,0,0,0,0,0,1,9,44,66,128,157,177,141,88,51,30,31,21,14,8,11,8,3,1,21,0.282178218,0.175247525,0.13960396,0.137623762,0.314851485,0.734653465
CINDACTA IV,SBCY,2022-06,ARR,939,0,0,0,0,0,2,1,4,17,67,139,168,126,124,86,51,41,25,24,10,6,8,5,4,8,23,0.326943557,0.134185304,0.132055378,0.145899894,0.266240682,0.739084132
CINDACTA IV,SBCY,2022-07,ARR,1193,0,0,0,0,0,0,2,14,41,100,214,229,189,155,77,57,32,21,9,12,7,6,3,1,0,24,0.371332775,0.158424141,0.12992456,0.112321878,0.288348701,0.772003353
CINDACTA IV,SBCY,2022-08,ARR,1184,0,0,0,0,0,0,2,7,27,85,166,218,174,180,87,64,40,32,24,22,10,4,6,7,3,26,0.324324324,0.146959459,0.152027027,0.127533784,0.298986486,0.750844595
CINDACTA IV,SBCY,2022-09,ARR,1113,0,0,0,0,0,1,3,16,46,118,172,200,163,145,83,40,20,24,21,8,7,12,1,3,7,23,0.334231806,0.146451033,0.130278527,0.110512129,0.27672956,0.721473495
CINDACTA IV,SBCY,2022-10,ARR,1123,0,0,0,0,0,0,0,8,37,103,198,220,185,141,70,47,25,21,16,12,14,3,6,3,1,13,0.372217275,0.164737311,0.125556545,0.104185218,0.290293856,0.766696349
CINDACTA IV,SBCY,2022-11,ARR,1059,0,0,0,0,0,2,4,11,32,72,123,176,157,149,93,59,39,25,18,23,18,9,9,3,4,33,0.282341832,0.148253069,0.140698772,0.143531634,0.288951841,0.714825307
CINDACTA IV,SBCY,2022-12,ARR,1212,0,0,0,0,0,1,3,12,48,103,212,211,172,127,67,46,51,33,22,20,16,11,8,6,3,40,0.349009901,0.141914191,0.104785479,0.093234323,0.24669967,0.688943894
CINDACTA IV,SBEG,2022-01,ARR,1232,17,0,5,3,3,1,7,15,54,91,144,157,171,149,102,76,38,39,19,22,13,10,7,13,5,71,0.244318182,0.138798701,0.120941558,0.144480519,0.25974026,0.648538961
CINDACTA IV,SBEG,2022-02,ARR,995,5,1,0,1,1,2,4,12,47,113,165,179,131,94,36,39,23,25,15,10,12,12,7,4,4,53,0.345728643,0.131658291,0.094472362,0.075376884,0.226130653,0.647236181
CINDACTA IV,SBEG,2022-03,ARR,1067,25,4,2,0,3,0,5,9,59,118,184,175,122,95,49,35,31,19,23,12,9,12,10,13,7,46,0.336457357,0.114339269,0.089034677,0.078725398,0.203373946,0.618556701
CINDACTA IV,SBEG,2022-04,ARR,892,17,3,5,1,1,3,7,13,45,103,139,125,89,89,49,31,29,18,19,14,8,12,5,9,9,49,0.295964126,0.099775785,0.099775785,0.089686099,0.19955157,0.585201794
CINDACTA IV,SBEG,2022-05,ARR,997,11,3,4,3,2,3,4,6,41,81,126,127,115,122,70,56,48,22,18,19,8,9,9,10,10,70,0.253761284,0.115346038,0.122367101,0.126379137,0.237713139,0.617853561
CINDACTA IV,SBEG,2022-06,ARR,1022,17,1,3,3,9,11,13,18,31,72,132,132,138,126,64,59,27,19,13,16,9,3,6,6,5,89,0.258317025,0.135029354,0.123287671,0.12035225,0.258317025,0.636986301
CINDACTA IV,SBEG,2022-07,ARR,1126,19,0,0,1,3,5,11,19,54,104,171,176,138,129,71,50,29,34,16,13,14,8,6,6,7,42,0.308170515,0.122557726,0.114564831,0.107460036,0.237122558,0.652753108
CINDACTA IV,SBEG,2022-08,ARR,1100,12,1,2,4,3,3,8,22,37,99,133,152,123,131,67,63,41,39,29,21,21,13,8,3,7,58,0.259090909,0.111818182,0.119090909,0.118181818,0.230909091,0.608181818
CINDACTA IV,SBEG,2022-09,ARR,1013,18,3,2,3,4,7,10,24,31,105,132,130,119,116,73,60,29,27,16,15,12,11,8,1,6,51,0.25863771,0.117472853,0.114511352,0.131293189,0.231984205,0.621915104
CINDACTA IV,SBEG,2022-10,ARR,1054,7,1,1,0,3,3,5,14,29,96,141,165,140,100,58,48,43,43,30,12,20,14,8,8,5,60,0.290322581,0.132827324,0.09487666,0.10056926,0.227703985,0.618595825
CINDACTA IV,SBEG,2022-11,ARR,907,3,0,0,1,1,0,5,8,24,65,88,136,108,112,73,50,44,34,26,20,13,14,6,4,6,66,0.246968026,0.11907387,0.123484013,0.135611907,0.242557883,0.625137817
CINDACTA IV,SBEG,2022-12,ARR,1052,3,0,0,4,7,5,8,25,46,85,135,152,126,101,50,51,50,27,27,17,18,10,12,6,9,78,0.272813688,0.119771863,0.096007605,0.096007605,0.215779468,0.58460076
CINDACTA II,SBFI,2022-01,ARR,452,0,0,0,1,0,0,1,5,9,42,70,91,56,50,22,33,16,14,1,8,3,7,2,2,4,15,0.35619469,0.123893805,0.110619469,0.121681416,0.234513274,0.712389381
CINDACTA II,SBFI,2022-02,ARR,283,0,0,0,0,0,1,0,1,5,26,57,70,50,32,8,7,4,8,3,3,2,1,1,0,1,3,0.448763251,0.176678445,0.113074205,0.053003534,0.28975265,0.791519435
CINDACTA II,SBFI,2022-03,ARR,368,0,0,0,1,0,0,0,1,11,27,72,101,51,39,12,7,10,9,5,2,3,3,3,1,1,9,0.470108696,0.138586957,0.105978261,0.051630435,0.244565217,0.766304348
CINDACTA II,SBFI,2022-04,ARR,438,0,0,0,0,0,0,0,1,5,18,46,99,103,69,31,21,13,7,5,5,1,1,4,1,1,7,0.331050228,0.235159817,0.157534247,0.118721461,0.392694064,0.842465753
CINDACTA II,SBFI,2022-05,ARR,458,0,0,0,0,0,0,0,0,4,16,38,65,94,79,48,37,18,12,15,2,6,6,2,1,2,13,0.22489083,0.205240175,0.172489083,0.18558952,0.377729258,0.788209607
CINDACTA II,SBFI,2022-06,ARR,433,0,0,0,0,0,0,0,1,5,5,34,65,86,94,53,21,15,12,10,7,7,3,2,0,1,12,0.228637413,0.198614319,0.217090069,0.170900693,0.415704388,0.815242494
CINDACTA II,SBFI,2022-07,ARR,520,0,0,0,0,0,0,0,0,2,11,54,104,111,81,40,32,21,15,11,5,8,2,4,3,2,14,0.303846154,0.213461538,0.155769231,0.138461538,0.369230769,0.811538462
CINDACTA II,SBFI,2022-08,ARR,483,0,0,0,0,0,0,0,0,1,13,32,68,98,100,48,36,14,19,12,6,5,8,3,3,5,12,0.207039337,0.202898551,0.207039337,0.173913043,0.409937888,0.790890269
CINDACTA II,SBFI,2022-09,ARR,469,0,0,0,0,0,0,0,0,0,8,31,59,82,108,54,37,32,21,12,4,2,6,3,2,3,5,0.191897655,0.174840085,0.230277186,0.194029851,0.405117271,0.791044776
CINDACTA II,SBFI,2022-10,ARR,511,0,0,0,0,0,0,0,0,4,18,45,102,103,69,46,28,27,15,14,9,5,6,2,2,2,14,0.287671233,0.201565558,0.135029354,0.14481409,0.336594912,0.769080235
CINDACTA II,SBFI,2022-11,ARR,478,0,0,0,0,0,0,0,1,5,21,45,76,79,72,43,38,17,15,12,9,5,7,8,4,4,17,0.253138075,0.165271967,0.150627615,0.169456067,0.315899582,0.738493724
