APT_GROUP,APT_ICAO,DATE,PHASE,N_VALID,(-1e+09.-60],(-60.-55],(-55.-50],(-50.-45],(-45.-40],(-40.-35],(-35.-30],(-30.-25],(-25.-20],(-20.-15],(-15.-10],(-10.-5],(-5.0],(0.5],(5.10],(10.15],(15.20],(20.25],(25.30],(30.35],(35.40],(40.45],(45.50],(50.55],(55.60],(60.1e+09],EARLY_M15M05,EARLY_M05M00,LATE_P00P05,LATE_P05P15,WITHIN_M05P05,WITHIN_M15P15
CRCEA-SE,SBGR,2022-12,DEP,10508,3,0,0,0,0,0,1,1,2,13,83,354,3288,2451,765,855,535,357,359,265,248,187,123,88,69,461,0.041587362,0.312904454,0.233250856,0.154168253,0.54615531,0.741910925
CRCEA-SE,SBKP,2022-01,DEP,3997,16,1,1,1,2,3,3,4,8,14,46,373,1019,1015,485,289,168,117,82,56,44,37,24,22,19,148,0.104828621,0.254941206,0.253940455,0.193645234,0.508881661,0.807355517
CRCEA-SE,SBKP,2022-02,DEP,4078,13,1,1,0,3,3,1,1,9,18,78,627,1426,931,324,180,112,68,35,31,19,20,17,11,13,136,0.172878862,0.349681216,0.228298185,0.123589995,0.577979402,0.874448259
CRCEA-SE,SBKP,2022-03,DEP,4871,10,0,2,1,3,3,7,3,5,18,81,681,1719,1115,438,215,118,70,52,45,32,23,25,16,19,170,0.15643605,0.352904948,0.228905769,0.134058715,0.581810716,0.872305481
CRCEA-SE,SBKP,2022-04,DEP,4913,14,0,1,1,1,0,1,10,6,19,93,630,1745,1148,438,247,131,82,60,36,47,29,20,21,24,109,0.147160594,0.355180134,0.233665785,0.139426013,0.588845919,0.875432526
CRCEA-SE,SBKP,2022-05,DEP,5497,7,0,2,4,3,4,5,9,9,21,69,577,1685,1326,540,341,204,125,80,74,50,41,43,41,25,212,0.117518647,0.306530835,0.241222485,0.160269238,0.54775332,0.825541204
CRCEA-SE,SBKP,2022-06,DEP,4745,17,1,1,1,3,4,6,2,3,12,98,637,1482,1148,409,256,164,109,88,54,34,31,21,16,16,132,0.154899895,0.312328767,0.241938883,0.140147524,0.55426765,0.849315068
CRCEA-SE,SBKP,2022-07,DEP,5232,16,0,1,1,5,2,7,7,7,17,88,617,1623,1253,540,318,185,128,63,57,49,40,29,19,21,139,0.134747706,0.310206422,0.239487768,0.163990826,0.54969419,0.848432722
CRCEA-SE,SBKP,2022-08,DEP,5430,19,2,2,1,10,3,7,4,10,28,99,647,1669,1331,501,328,198,136,97,76,53,39,27,20,7,116,0.137384899,0.307366483,0.245119705,0.15267035,0.552486188,0.842541436
CRCEA-SE,SBKP,2022-09,DEP,5388,19,3,1,2,2,4,3,8,10,31,77,579,1590,1274,540,334,205,148,106,66,57,54,32,28,24,191,0.121752042,0.295100223,0.236451373,0.162212324,0.531551596,0.815515961
CRCEA-SE,SBKP,2022-10,DEP,5619,12,5,3,1,3,4,4,7,9,20,94,729,1765,1313,488,333,216,139,88,65,47,37,31,32,18,156,0.146467343,0.314112831,0.233671472,0.146111408,0.547784303,0.840363054
CRCEA-SE,SBKP,2022-11,DEP,5321,7,3,2,2,4,7,5,4,10,21,70,557,1650,1344,591,315,197,121,91,65,30,28,33,28,19,117,0.117834993,0.310092088,0.252584101,0.170268746,0.562676189,0.850779929
CRCEA-SE,SBKP,2022-12,DEP,5470,9,3,1,3,2,1,3,4,7,18,62,342,1292,1391,666,452,287,178,156,89,87,76,47,36,32,226,0.073857404,0.236197441,0.254296161,0.204387569,0.490493601,0.768738574
CINDACTA III,SBMO,2022-01,DEP,974,0,0,0,0,0,0,0,0,1,12,69,222,243,155,67,57,38,22,15,18,18,4,8,0,3,22,0.298767967,0.249486653,0.159137577,0.127310062,0.40862423,0.834702259
CINDACTA III,SBMO,2022-02,DEP,691,0,0,0,0,0,0,1,0,0,17,92,226,185,90,33,19,10,4,1,1,4,2,1,1,0,4,0.460202605,0.267727931,0.13024602,0.075253256,0.397973951,0.933429812
CINDACTA III,SBMO,2022-03,DEP,763,0,0,0,0,0,0,0,0,2,16,81,226,204,98,40,25,19,14,10,6,1,4,2,2,1,12,0.402359109,0.267365662,0.128440367,0.085190039,0.395806029,0.883355177
CINDACTA III,SBMO,2022-04,DEP,626,0,0,0,0,0,0,0,0,3,13,75,153,131,111,43,29,23,11,2,7,4,4,1,3,2,11,0.364217252,0.209265176,0.177316294,0.115015974,0.38658147,0.865814696
CINDACTA III,SBMO,2022-05,DEP,606,13,0,0,0,1,0,1,1,5,16,64,142,122,107,40,28,22,5,8,9,3,1,2,2,1,13,0.339933993,0.201320132,0.176567657,0.112211221,0.377887789,0.830033003
CINDACTA III,SBMO,2022-06,DEP,595,0,0,0,1,0,0,0,0,2,14,67,187,142,80,30,13,9,13,4,8,5,3,3,3,0,11,0.426890756,0.238655462,0.134453782,0.072268908,0.373109244,0.872268908
CINDACTA III,SBMO,2022-07,DEP,813,4,0,0,0,0,0,0,1,4,22,113,210,169,118,50,35,21,16,9,8,6,6,4,4,3,10,0.397293973,0.207872079,0.145141451,0.104551046,0.35301353,0.854858549
CINDACTA III,SBMO,2022-08,DEP,719,0,0,0,0,0,0,0,0,3,23,81,156,159,117,43,46,25,12,12,8,6,5,3,3,4,13,0.329624478,0.221140473,0.162726008,0.123783032,0.383866481,0.837273992
CINDACTA III,SBMO,2022-09,DEP,657,0,0,0,0,0,0,0,0,2,20,80,158,147,110,38,23,25,13,9,5,5,5,3,2,0,12,0.362252664,0.223744292,0.167427702,0.092846271,0.391171994,0.846270928
CINDACTA III,SBMO,2022-10,DEP,710,0,0,0,0,0,0,0,0,3,9,62,164,180,116,52,25,30,15,14,16,3,6,2,5,1,7,0.318309859,0.253521127,0.163380282,0.108450704,0.416901408,0.843661972
CINDACTA III,SBMO,2022-11,DEP,636,0,0,0,0,0,0,0,0,0,8,58,145,144,100,45,35,24,10,11,12,7,9,4,4,2,18,0.31918239,0.226415094,0.157232704,0.125786164,0.383647799,0.828616352
CINDACTA III,SBMO,2022-12,DEP,796,0,0,0,0,0,0,0,1,6,21,95,202,161,107,47,42,27,18,14,9,7,8,8,4,4,15,0.373115578,0.202261307,0.134422111,0.111809045,0.336683417,0.82160804
CINDACTA II,SBPA,2022-01,DEP,2264,4,0,0,3,0,0,0,3,3,7,107,531,603,385,155,104,67,59,36,27,27,19,25,15,12,72,0.28180212,0.266342756,0.170053004,0.114399293,0.43639576,0.832597173
CINDACTA II,SBPA,2022-02,DEP,1789,4,0,1,2,0,1,1,0,5,9,133,594,537,271,78,60,25,16,8,6,9,4,3,3,1,18,0.406372275,0.300167691,0.151481274,0.077138066,0.451648966,0.935159307
CINDACTA II,SBPA,2022-03,DEP,2119,8,0,0,2,1,1,1,2,6,10,139,637,664,311,100,57,37,31,18,20,12,10,9,3,3,37,0.366210477,0.313355356,0.146767343,0.074091553,0.460122699,0.900424729
CINDACTA II,SBPA,2022-04,DEP,2178,1,1,1,0,2,2,1,2,3,12,110,602,641,352,117,75,47,37,28,23,16,17,12,1,10,65,0.326905418,0.294306703,0.161616162,0.08815427,0.455922865,0.870982553
CINDACTA II,SBPA,2022-05,DEP,2460,2,1,0,3,3,3,2,3,2,7,89,653,684,430,150,95,55,40,35,34,17,14,14,14,6,104,0.301626016,0.27804878,0.174796748,0.099593496,0.452845528,0.854065041
CINDACTA II,SBPA,2022-06,DEP,2310,2,1,0,4,1,1,4,1,2,6,103,565,681,417,138,104,78,41,29,24,25,8,6,7,6,56,0.289177489,0.294805195,0.180519481,0.104761905,0.475324675,0.869264069
CINDACTA II,SBPA,2022-07,DEP,2495,1,0,0,0,0,1,0,3,6,10,92,575,710,422,176,142,88,56,45,33,24,23,15,7,11,55,0.267334669,0.284569138,0.169138277,0.12745491,0.453707415,0.848496994
CINDACTA II,SBPA,2022-08,DEP,2312,4,0,1,0,1,3,5,6,4,5,78,556,691,359,164,117,80,60,42,36,18,17,14,6,5,40,0.274221453,0.298875433,0.155276817,0.121539792,0.454152249,0.849913495
CINDACTA II,SBPA,2022-09,DEP,2219,5,0,1,1,2,1,4,6,2,10,127,613,595,352,121,81,77,60,28,28,20,13,16,15,4,37,0.333483551,0.268138801,0.158630014,0.091031996,0.426768815,0.851284362
CINDACTA II,SBPA,2022-10,DEP,2292,6,0,1,0,1,0,4,6,2,9,135,638,640,324,146,91,76,40,31,26,14,14,14,12,6,56,0.337260035,0.279232112,0.141361257,0.103403141,0.420593368,0.861256545
CINDACTA II,SBPA,2022-11,DEP,2388,1,1,0,0,0,2,0,1,3,7,78,458,621,399,193,134,91,63,73,53,37,26,28,21,13,85,0.224455611,0.260050251,0.167085427,0.136934673,0.427135678,0.788525963
CINDACTA II,SBPA,2022-12,DEP,2492,1,0,1,0,0,1,1,2,3,9,82,569,678,363,177,125,80,91,45,43,29,26,26,23,17,100,0.261235955,0.272070626,0.145666132,0.121187801,0.417736758,0.800160514
CINDACTA III,SBPS,2022-01,DEP,905,0,0,0,0,0,0,0,0,3,7,55,113,173,160,92,82,53,43,30,24,10,9,6,8,4,33,0.185635359,0.191160221,0.17679558,0.192265193,0.367955801,0.745856354
CINDACTA III,SBPS,2022-02,DEP,549,0,0,0,0,0,0,0,0,1,10,43,125,131,124,36,20,20,8,3,4,1,2,1,0,1,19,0.306010929,0.238615665,0.225865209,0.102003643,0.464480874,0.872495446
CINDACTA III,SBPS,2022-03,DEP,609,0,0,0,1,0,0,0,0,2,7,53,106,144,131,58,31,23,12,10,3,5,2,1,3,3,14,0.261083744,0.236453202,0.215106732,0.146141215,0.451559934,0.858784893
CINDACTA III,SBPS,2022-04,DEP,520,0,0,0,0,0,0,0,0,0,5,38,96,122,111,57,26,21,10,11,1,4,4,1,1,1,11,0.257692308,0.234615385,0.213461538,0.159615385,0.448076923,0.865384615
CINDACTA III,SBPS,2022-05,DEP,481,0,0,0,0,0,0,0,0,1,7,42,122,123,91,25,16,13,7,5,6,2,3,3,2,4,9,0.340956341,0.255717256,0.189189189,0.085239085,0.444906445,0.871101871
CINDACTA III,SBPS,2022-06,DEP,486,0,0,0,0,0,0,0,0,0,4,52,152,128,62,28,15,11,11,3,2,2,3,1,2,0,10,0.419753086,0.263374486,0.127572016,0.088477366,0.390946502,0.899176955
CINDACTA III,SBPS,2022-07,DEP,886,0,0,0,0,0,0,1,3,10,28,88,180,195,171,56,51,22,22,12,7,5,5,5,3,2,20,0.30248307,0.220090293,0.193002257,0.120767494,0.413092551,0.836343115
CINDACTA III,SBPS,2022-08,DEP,574,0,0,0,0,0,0,0,2,2,4,39,121,146,107,45,30,23,16,9,12,6,4,3,0,0,5,0.278745645,0.254355401,0.18641115,0.130662021,0.440766551,0.850174216
CINDACTA III,SBPS,2022-09,DEP,537,0,0,0,0,0,2,4,2,3,10,42,131,121,77,43,21,14,16,8,11,3,1,3,4,0,21,0.322160149,0.225325885,0.143389199,0.119180633,0.368715084,0.810055866
CINDACTA III,SBPS,2022-10,DEP,622,0,0,0,0,0,0,0,0,1,9,47,145,161,98,50,29,16,14,13,6,5,4,4,1,1,18,0.308681672,0.258842444,0.15755627,0.127009646,0.416398714,0.852090032
CINDACTA III,SBPS,2022-11,DEP,600,0,0,0,0,0,0,0,0,4,8,50,88,115,91,48,46,29,20,26,17,8,6,7,5,4,28,0.23,0.191666667,0.151666667,0.156666667,0.343333333,0.73
CINDACTA III,SBPS,2022-12,DEP,789,0,0,0,0,0,0,0,0,3,9,72,143,125,104,65,54,44,28,21,20,16,7,6,13,5,54,0.272496831,0.15842839,0.131812421,0.150823828,0.290240811,0.71356147
CINDACTA III,SBRF,2022-01,DEP,3256,0,0,0,1,0,0,1,1,8,15,101,481,858,713,283,206,154,107,60,44,46,44,22,16,10,85,0.178746929,0.263513514,0.218980344,0.150184275,0.482493857,0.811425061
CINDACTA III,SBRF,2022-02,DEP,2635,0,0,0,0,1,2,1,3,6,25,158,696,831,482,153,90,47,38,21,15,11,7,3,5,3,37,0.324098672,0.315370019,0.182922201,0.092220114,0.49829222,0.914611006
CINDACTA III,SBRF,2022-03,DEP,3171,0,0,0,0,0,0,1,4,11,26,154,749,1020,621,205,129,66,39,26,19,15,11,11,8,11,45,0.284768212,0.32166509,0.195837275,0.105329549,0.517502365,0.907600126
CINDACTA III,SBRF,2022-04,DEP,2934,0,0,0,0,0,1,0,1,0,16,149,745,929,566,169,113,55,44,41,23,13,6,7,8,7,41,0.304703476,0.316632584,0.192910702,0.096114519,0.509543286,0.910361282
CINDACTA III,SBRF,2022-05,DEP,3138,0,0,0,0,0,0,0,4,2,15,140,666,969,606,206,139,96,69,43,38,23,14,13,12,12,71,0.256851498,0.308795411,0.193116635,0.109942639,0.501912046,0.868706182
CINDACTA III,SBRF,2022-06,DEP,2922,0,1,0,0,0,0,1,1,2,16,122,564,872,626,223,128,85,55,38,32,24,18,16,14,10,74,0.234770705,0.298425736,0.214236824,0.120123203,0.51266256,0.867556468
CINDACTA III,SBRF,2022-07,DEP,3327,0,1,1,0,0,1,0,0,5,32,216,775,1009,559,223,128,83,74,40,33,34,12,21,20,8,52,0.297865945,0.303276225,0.168019237,0.105500451,0.471295461,0.874661858
CINDACTA III,SBRF,2022-08,DEP,3021,4,1,2,0,2,1,1,3,7,21,131,555,861,639,237,160,101,66,56,36,27,17,20,9,6,58,0.227077127,0.285004965,0.211519364,0.131413439,0.49652433,0.855014896
CINDACTA III,SBRF,2022-09,DEP,2828,0,0,1,1,1,3,1,4,4,18,151,556,860,567,189,131,94,61,46,23,24,17,15,6,8,47,0.25,0.304101839,0.20049505,0.113154173,0.504596888,0.867751061
CINDACTA III,SBRF,2022-10,DEP,2910,0,1,0,3,2,3,5,4,7,28,124,576,930,629,168,104,74,47,44,30,24,18,14,4,7,64,0.240549828,0.319587629,0.216151203,0.09347079,0.535738832,0.86975945
CINDACTA III,SBRF,2022-11,DEP,2628,1,1,0,1,1,1,0,4,1,9,84,471,856,500,191,122,88,58,50,39,21,18,15,15,13,68,0.211187215,0.325722983,0.190258752,0.119101979,0.515981735,0.846270928
CINDACTA III,SBRF,2022-12,DEP,3103,0,0,1,0,1,0,0,3,9,21,176,675,987,520,200,105,80,61,44,37,23,30,20,23,17,70,0.274250725,0.318079278,0.167579762,0.098291976,0.48565904,0.85820174
CRCEA-SE,SBRJ,2022-01,DEP,3059,2,0,0,0,0,0,0,0,1,3,68,619,965,633,205,152,87,64,54,39,25,24,12,22,14,70,0.224583197,0.315462569,0.206930369,0.116704805,0.522392939,0.863680941
CRCEA-SE,SBRJ,2022-02,DEP,2712,0,0,0,0,0,0,0,0,1,0,68,784,1015,514,114,75,49,31,10,7,4,5,3,3,3,26,0.314159292,0.374262537,0.189528024,0.069690265,0.56379056,0.947640118
CRCEA-SE,SBRJ,2022-03,DEP,3342,0,0,0,0,0,0,0,0,0,0,86,820,1088,740,221,133,67,53,25,22,12,10,6,5,8,46,0.271095153,0.325553561,0.221424297,0.105924596,0.546977858,0.923997606
CRCEA-SE,SBRJ,2022-04,DEP,3754,0,0,0,0,0,1,0,0,1,2,78,773,1147,788,331,189,105,89,63,36,28,20,13,10,16,64,0.226691529,0.305540757,0.20990943,0.138518913,0.515450186,0.880660629
CRCEA-SE,SBRJ,2022-05,DEP,4197,0,0,0,0,0,0,0,0,0,1,107,970,1380,862,323,164,114,59,40,33,25,24,13,11,14,57,0.256611866,0.32880629,0.205384799,0.116035263,0.534191089,0.906838218
CRCEA-SE,SBRJ,2022-06,DEP,3886,0,0,0,0,0,0,0,0,0,3,124,993,1285,715,273,157,99,65,45,33,19,13,12,4,7,39,0.2874421,0.330674215,0.183993824,0.110653628,0.514668039,0.912763767
CRCEA-SE,SBRJ,2022-07,DEP,4316,0,0,0,0,0,0,0,0,1,0,113,977,1340,821,346,201,141,106,53,40,32,28,12,7,18,80,0.252548656,0.31047266,0.190222428,0.12673772,0.500695088,0.879981464
CRCEA-SE,SBRJ,2022-08,DEP,4306,0,0,0,0,0,0,0,0,0,6,146,959,1264,834,320,226,149,104,69,48,40,33,17,14,12,65,0.256618672,0.293543892,0.193683233,0.126799814,0.487227125,0.870645611
CRCEA-SE,SBRJ,2022-09,DEP,4219,1,0,0,0,0,0,1,0,1,3,145,837,1177,816,318,233,163,118,77,54,38,36,25,19,16,141,0.232756577,0.278976061,0.193410761,0.130599668,0.472386822,0.835743067
CRCEA-SE,SBRJ,2022-10,DEP,4466,0,0,0,0,0,0,0,0,0,7,146,915,1267,838,350,236,155,109,81,69,49,47,31,30,27,109,0.237572772,0.28369906,0.187639946,0.131213614,0.471339006,0.840125392
CRCEA-SE,SBRJ,2022-11,DEP,4454,1,0,0,0,0,0,0,0,0,1,58,490,941,867,439,386,269,202,172,107,97,76,58,60,29,201,0.123035474,0.211270768,0.194656489,0.185226762,0.405927256,0.714189493
CRCEA-SE,SBRJ,2022-12,DEP,4559,1,0,0,1,0,0,1,1,2,3,85,546,1014,871,414,318,248,173,150,130,70,64,71,47,40,309,0.138407546,0.222417197,0.191050669,0.160561527,0.413467866,0.712436938
CRCEA-SE,SBSP,2022-01,DEP,5331,0,0,0,0,0,0,1,0,1,3,190,1195,1550,1015,403,258,149,114,97,74,44,33,44,21,25,114,0.259801163,0.290752204,0.190395798,0.123991746,0.481148002,0.864940912
CRCEA-SE,SBSP,2022-02,DEP,4079,0,0,0,0,0,0,0,0,0,3,262,1351,1262,636,207,126,76,41,34,14,14,10,8,5,3,27,0.395440059,0.309389556,0.155920569,0.081637656,0.465310125,0.94238784
CRCEA-SE,SBSP,2022-03,DEP,4630,1,0,0,0,0,0,1,0,0,3,266,1437,1454,804,227,154,78,53,31,29,18,8,12,11,10,33,0.367818575,0.314038877,0.173650108,0.082289417,0.487688985,0.937796976
CRCEA-SE,SBSP,2022-04,DEP,5449,0,0,0,0,0,0,0,0,0,3,175,1322,1745,1128,396,230,146,92,53,35,26,22,12,16,2,46,0.274729308,0.320242246,0.207010461,0.114883465,0.527252707,0.91686548
CRCEA-SE,SBSP,2022-05,DEP,6398,0,0,0,0,0,0,0,0,0,6,218,1453,2034,1287,502,278,178,119,91,48,32,30,12,12,11,87,0.261175367,0.317911847,0.201156611,0.121913098,0.519068459,0.902156924
CRCEA-SE,SBSP,2022-06,DEP,5963,0,0,0,0,0,0,0,0,0,3,165,1370,2014,1249,433,246,176,98,59,34,20,18,13,9,10,46,0.257420761,0.337749455,0.209458326,0.113868858,0.547207781,0.918497401
CRCEA-SE,SBSP,2022-07,DEP,6636,0,0,0,0,0,0,0,0,0,3,150,1198,1935,1432,573,388,263,195,148,83,70,42,33,21,19,83,0.203134418,0.29159132,0.215792646,0.144816154,0.507383966,0.855334539
CRCEA-SE,SBSP,2022-08,DEP,6384,1,0,0,0,0,0,0,0,0,1,149,1063,1710,1357,574,397,288,228,169,88,76,59,34,40,25,125,0.189849624,0.267857143,0.212562657,0.152098997,0.480419799,0.822368421
CRCEA-SE,SBSP,2022-09,DEP,6116,0,0,0,0,0,0,0,0,0,2,157,1114,1637,1291,557,348,265,197,124,98,63,45,30,29,22,137,0.207815566,0.2676586,0.211085677,0.147972531,0.478744277,0.834532374
CRCEA-SE,SBSP,2022-10,DEP,6556,0,0,0,0,0,0,0,0,0,2,211,1120,1731,1281,577,371,273,221,155,126,100,68,44,36,40,200,0.203020134,0.264032947,0.195393533,0.144600366,0.45942648,0.80704698
CRCEA-SE,SBSP,2022-11,DEP,7023,4,0,0,0,0,0,0,0,0,3,93,626,1358,1436,739,542,398,332,253,231,170,137,131,106,79,385,0.102377901,0.193364659,0.204471024,0.182400683,0.397835683,0.682614267
CRCEA-SE,SBSP,2022-12,DEP,7386,1,0,0,0,0,0,0,0,0,8,159,728,1422,1448,765,606,427,378,266,270,161,126,94,95,72,360,0.120092066,0.192526401,0.196046575,0.185621446,0.388572976,0.694286488
CINDACTA III,SBSV,2022-01,DEP,2666,18,0,0,0,0,0,0,0,1,6,104,511,645,534,239,150,107,72,68,39,33,27,20,13,11,68,0.230682671,0.241935484,0.200300075,0.145911478,0.442235559,0.818829707
CINDACTA III,SBSV,2022-02,DEP,2065,6,0,0,0,2,7,2,2,3,18,163,600,558,317,119,70,42,29,23,14,8,9,7,10,3,53,0.369491525,0.270217918,0.153510896,0.091525424,0.423728814,0.884745763
CINDACTA III,SBSV,2022-03,DEP,2375,0,0,0,0,0,1,0,3,9,26,189,759,593,343,154,89,53,41,16,17,12,13,5,7,5,40,0.399157895,0.249684211,0.144421053,0.102315789,0.394105263,0.895578947
CINDACTA III,SBSV,2022-04,DEP,2151,0,0,0,0,0,1,0,1,9,27,141,603,571,353,154,72,61,40,25,17,15,9,4,3,4,41,0.345885635,0.265457927,0.164109716,0.105067411,0.429567643,0.880520688
CINDACTA III,SBSV,2022-05,DEP,2070,0,0,0,0,1,1,1,3,6,31,197,645,480,299,133,81,41,36,30,11,11,10,12,3,2,36,0.406763285,0.231884058,0.144444444,0.103381643,0.376328502,0.88647343
CINDACTA III,SBSV,2022-06,DEP,1999,2,0,0,0,0,0,4,1,6,26,136,570,542,315,137,75,50,33,20,13,4,13,11,6,5,30,0.353176588,0.271135568,0.157578789,0.106053027,0.428714357,0.887943972
CINDACTA III,SBSV,2022-07,DEP,2293,0,3,0,1,0,0,1,2,6,16,111,566,577,432,169,115,68,48,34,22,22,9,10,7,9,65,0.295246402,0.251635412,0.188399477,0.123855212,0.440034889,0.859136502
CINDACTA III,SBSV,2022-08,DEP,2045,0,0,0,0,0,0,0,2,2,21,99,472,530,412,154,108,59,44,39,32,17,9,6,5,1,33,0.279217604,0.259168704,0.201466993,0.128117359,0.460635697,0.86797066
CINDACTA III,SBSV,2022-09,DEP,1931,0,0,0,0,0,3,6,10,10,27,142,469,479,316,126,89,70,40,34,16,18,14,4,10,5,43,0.316416365,0.248058001,0.163645779,0.111341274,0.41170378,0.839461419
CINDACTA III,SBSV,2022-10,DEP,1951,2,0,0,0,0,0,3,6,17,21,146,504,432,327,127,89,55,55,23,26,16,12,8,7,5,70,0.333162481,0.22142491,0.167606356,0.110712455,0.389031266,0.832906202
CINDACTA III,SBSV,2022-11,DEP,2117,25,0,0,0,2,3,2,9,7,15,68,412,417,356,172,116,105,86,56,49,41,34,26,17,8,91,0.226735947,0.196976854,0.168162494,0.136041568,0.365139348,0.727916863
CINDACTA III,SBSV,2022-12,DEP,2416,13,0,0,3,1,2,6,11,15,26,127,447,467,398,161,141,127,90,64,57,47,29,26,21,9,128,0.237582781,0.193294702,0.164735099,0.125,0.358029801,0.720612583
